Cycle,Joystick1/Buttons[0],Joystick1/Buttons[1],Joystick1/Buttons[2],Joystick1/Buttons[3],Joystick1/Buttons[4],Joystick1/Buttons[5],Joystick1/Buttons[6],Joystick1/Buttons[7],Joystick1/Buttons[8],Joystick1/Buttons[9],Joystick1/Buttons[10],Joystick1/Buttons[11],Joystick1/Axes[0],Joystick1/Axes[1],Joystick1/Axes[2],Joystick1/Axes[3],Joystick1/Axes[4],Joystick1/Axes[5],Joystick2/Buttons[0],Joystick2/Buttons[1],Joystick2/Buttons[2],Joystick2/Buttons[3],Joystick2/Buttons[4],Joystick2/Buttons[5],Joystick2/Buttons[6],Joystick2/Buttons[7],Joystick2/Buttons[8],Joystick2/Buttons[9],Joystick2/Buttons[10],Joystick2/Buttons[11],Joystick2/Axes[0],Joystick2/Axes[1],Joystick2/Axes[2],Joystick2/Axes[3],Joystick2/Axes[4],Joystick2/Axes[5],Joystick3/Buttons[0],Joystick3/Buttons[1],Joystick3/Buttons[2],Joystick3/Buttons[3],Joystick3/Buttons[4],Joystick3/Buttons[5],Joystick3/Buttons[6],Joystick3/Buttons[7],Joystick3/Buttons[8],Joystick3/Buttons[9],Joystick3/Buttons[10],Joystick3/Axes[0],Joystick3/Axes[1],Joystick3/Axes[2],DrivetrainData/ControlModes,DrivetrainData/OpenLoopOutputs,DrivetrainData/DesiredRates,DrivetrainData/PositionSetpoints,DrivetrainData/MaxSpeeds,DrivetrainData/PositionStartLocations,DrivetrainData/ZeroHeading,DrivetrainData/PositionSetpointChanged,DrivetrainData/SyncArc,DrivetrainData/OverrideForwardCurrentLimit,DrivetrainData/OverrideReverseCurrentLimit,DrivetrainData/ForwardCurrentLimit,DrivetrainData/ReverseCurrentLimit,Climb/State,PneumaticsAngle/State,PneumaticsCollector/State
14,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
15,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
16,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
17,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
19,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
20,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
21,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
22,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
23,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
24,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
25,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
26,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
27,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
28,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
29,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
30,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
31,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
32,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
33,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
34,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
35,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
36,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
37,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
38,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
39,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
40,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
41,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
42,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
43,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
44,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
45,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
46,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
47,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
48,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
49,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
50,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
51,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390625,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
52,0,0,0,0,0,0,0,0,0,0,0,0,-0.046875,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
53,0,0,0,0,0,0,0,0,0,0,0,0,-0.046875,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
54,0,0,0,0,0,0,0,0,0,0,0,0,-0.046875,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
55,0,0,0,0,0,0,0,0,0,0,0,0,-0.046875,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
56,0,0,0,0,0,0,0,0,0,0,0,0,-0.046875,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
57,0,0,0,0,0,0,0,0,0,0,0,0,-0.046875,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
58,0,0,0,0,0,0,0,0,0,0,0,0,-0.046875,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
59,0,0,0,0,0,0,0,0,0,0,0,0,-0.046875,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
60,0,0,0,0,0,0,0,0,0,0,0,0,-0.046875,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
61,0,0,0,0,0,0,0,0,0,0,0,0,-0.046875,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
62,0,0,0,0,0,0,0,0,0,0,0,0,-0.046875,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
63,0,0,0,0,0,0,0,0,0,0,0,0,-0.046875,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
64,0,0,0,0,0,0,0,0,0,0,0,0,-0.046875,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
65,0,0,0,0,0,0,0,0,0,0,0,0,-0.046875,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
66,0,0,0,0,0,0,0,0,0,0,0,0,-0.046875,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
67,0,0,0,0,0,0,0,0,0,0,0,0,-0.046875,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
68,0,0,0,0,0,0,0,0,0,0,0,0,-0.046875,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
69,0,0,0,0,0,0,0,0,0,0,0,0,-0.046875,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
70,0,0,0,0,0,0,0,0,0,0,0,0,-0.046875,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
71,0,0,0,0,0,0,0,0,0,0,0,0,-0.046875,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
72,0,0,0,0,0,0,0,0,0,0,0,0,-0.046875,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
73,0,0,0,0,0,0,0,0,0,0,0,0,-0.0546875,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
74,0,0,0,0,0,0,0,0,0,0,0,0,-0.0546875,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
75,0,0,0,0,0,0,0,0,0,0,0,0,-0.0546875,0,0,0.00787402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.24472e-306,0,0,0,0,2.67451e-038,0,45,0,0,0.5,0.5,0,2,2
